Transaction_ID,Date,Customer_ID,Account_Type,Transaction_Type,Transaction_Amount,Balance_After_Transaction,Interest_Accrued,Fee_Charged,Region,Customer_Satisfaction
INV11472,2022-03-03 08:00:00,CUST1090,Investment,Withdrawal,16747.57,91898.39,158.08,107.58,South,4
INV12115,2022-03-30 03:00:00,CUST1023,,Withdrawal,3087.22,78717.38,417.43,297.22,North,5
INV12902,2022-05-01 22:00:00,CUST1011,Savings,Withdrawal,8267.0,57686.34,133.03,204.35,North,5
INV12525,2022-04-16 05:00:00,CUST1066,Credit,Deposit,750.29,93603.71,392.71,212.87,North,
INV12848,2022-04-29 16:00:00,CUST1094,Checking,Interest,33065.06,78450.15,400.97,137.14,South,1
INV11360,2022-02-26 16:00:00,CUST1091,Savings,Deposit,27762.43,1425.53,65.64,74.04,East,2
INV11215,2022-02-20 15:00:00,CUST1010,Credit,,36411.89,3298.6,189.8,108.33,North,
INV10034,2022-01-02 10:00:00,CUST1059,Investment,Deposit,36249.31,84157.5,441.13,277.96,West,2
INV10216,2022-01-10 00:00:00,CUST1011,Investment,Deposit,25584.41,98159.75,260.55,71.9,,4
INV11888,2022-03-20 16:00:00,CUST1003,,Fee,43971.06,70360.2,301.12,78.57,North,3
INV11288,2022-02-23 16:00:00,CUST1058,Savings,,5106.61,22313.07,182.86,88.41,East,2
INV11635,2022-03-10 03:00:00,CUST1038,Checking,Fee,48115.53,18608.28,20.65,193.25,East,3
INV12569,2022-04-18 01:00:00,CUST1064,Investment,Withdrawal,42047.78,21468.18,400.12,38.45,South,2
INV10661,2022-01-28 13:00:00,CUST1006,,Fee,18144.73,5397.27,182.86,81.53,North,2
INV10921,2022-02-08 09:00:00,CUST1020,,Interest,5235.35,93217.03,57.12,277.55,East,3
INV11851,2022-03-19 03:00:00,CUST1090,Checking,Fee,24396.26,59427.79,99.79,48.08,East,
INV10868,2022-02-06 04:00:00,CUST1029,,Deposit,35285.91,67819.07,135.96,108.33,East,2
INV11381,2022-02-27 13:00:00,CUST1095,,Withdrawal,20467.18,58893.72,339.42,204.69,North,5
INV11626,2022-03-09 18:00:00,CUST1041,Savings,Withdrawal,6254.74,51050.94,184.84,88.56,South,3
INV10106,2022-01-05 10:00:00,CUST1044,,Fee,46607.13,86299.97,165.35,18.12,East,
INV10350,2022-01-15 14:00:00,CUST1097,Credit,Fee,16897.47,24402.98,427.11,255.28,West,3
INV10254,2022-01-11 14:00:00,CUST1058,Checking,Deposit,5628.18,33745.58,487.37,105.95,East,
INV11049,2022-02-13 17:00:00,CUST1065,Savings,,49129.12,26125.69,315.64,279.1,,1
INV11649,2022-03-10 17:00:00,CUST1064,Checking,Fee,35198.63,93715.13,204.69,215.52,West,2
INV10044,2022-01-02 20:00:00,CUST1002,Savings,,3168.78,93932.1,255.53,100.78,West,3
INV10100,2022-01-05 04:00:00,CUST1025,Investment,,2745.16,76512.13,426.16,23.52,West,4
INV12226,2022-04-03 18:00:00,CUST1087,Credit,Fee,5736.12,18870.21,123.78,43.64,South,
INV11143,2022-02-17 15:00:00,CUST1031,Investment,Fee,44096.35,55721.2,93.18,224.44,North,2
INV10500,2022-01-21 20:00:00,CUST1075,Investment,Fee,5184.61,70051.44,362.31,232.54,West,3
INV11907,2022-03-21 11:00:00,CUST1055,Checking,Fee,49303.51,79139.15,438.42,108.53,South,3
INV11757,2022-03-15 05:00:00,CUST1047,Investment,Fee,2629.76,82295.86,216.38,36.82,East,
INV11079,2022-02-14 23:00:00,CUST1049,Checking,Withdrawal,10178.62,19698.44,87.71,17.1,East,1
INV10964,2022-02-10 04:00:00,CUST1086,Checking,,46475.99,59819.8,487.34,56.03,South,4
INV11641,2022-03-10 09:00:00,CUST1056,,Interest,44608.72,78225.22,366.31,298.51,South,3
INV12048,2022-03-27 08:00:00,CUST1061,,Interest,12453.96,63978.52,115.57,234.02,East,2
INV10975,2022-02-10 15:00:00,CUST1017,Credit,Deposit,36920.18,3957.8,444.69,214.84,,2
INV12812,2022-04-28 04:00:00,CUST1007,,,8627.8,32493.33,155.72,280.38,South,3
INV10691,2022-01-29 19:00:00,CUST1073,Investment,,24789.58,56827.31,293.51,264.36,,
INV12332,2022-04-08 04:00:00,CUST1089,,Withdrawal,21623.48,67910.29,200.85,214.17,East,1
INV11557,2022-03-06 21:00:00,CUST1080,Checking,Fee,6696.7,66468.96,217.47,178.64,South,
INV10633,2022-01-27 09:00:00,CUST1098,Checking,,38868.85,49258.96,498.92,262.37,,2
INV10333,2022-01-14 21:00:00,CUST1007,Investment,Deposit,6783.37,64310.33,312.29,203.23,South,4
INV12646,2022-04-21 06:00:00,CUST1013,Checking,Withdrawal,27338.51,25275.37,356.58,226.26,East,3
INV11117,2022-02-16 13:00:00,CUST1021,Investment,Withdrawal,1797.95,96170.51,383.11,260.75,East,2
INV11629,2022-03-09 21:00:00,CUST1012,Checking,Fee,43991.72,49399.52,42.45,293.4,North,2
INV10171,2022-01-08 03:00:00,CUST1070,Savings,Interest,5322.86,27968.72,367.08,30.73,,2
INV12829,2022-04-28 21:00:00,CUST1010,Credit,Withdrawal,2214.17,41572.94,312.97,23.52,West,5
INV10191,2022-01-08 23:00:00,CUST1096,Investment,,13711.42,91036.15,167.73,172.18,West,4
INV11175,2022-02-18 23:00:00,CUST1037,,,41278.29,17602.72,32.84,290.63,North,
INV12152,2022-03-31 16:00:00,CUST1040,,Deposit,22607.67,72687.82,286.38,230.96,North,
INV12474,2022-04-14 02:00:00,CUST1031,Investment,Withdrawal,41589.59,90620.56,140.06,200.94,,2
INV11510,2022-03-04 22:00:00,CUST1032,Credit,Withdrawal,29086.75,29741.46,432.58,98.42,West,2
INV11768,2022-03-15 16:00:00,CUST1057,Checking,Fee,15831.92,54266.22,164.64,96.57,,2
INV10317,2022-01-14 05:00:00,CUST1017,Credit,Deposit,31810.32,61665.42,268.64,166.98,North,2
INV10397,2022-01-17 13:00:00,CUST1046,Savings,Fee,34423.18,2521.6,363.14,22.87,West,
INV11006,2022-02-11 22:00:00,CUST1005,Investment,Withdrawal,8878.7,9577.58,496.51,50.58,East,1
INV10732,2022-01-31 12:00:00,CUST1017,Investment,Deposit,8418.87,94509.24,414.71,150.0,South,5
INV11922,2022-03-22 02:00:00,CUST1037,,Fee,25248.69,76831.85,110.64,194.9,West,3
INV12903,2022-05-01 23:00:00,CUST1046,Checking,Interest,46072.47,87421.26,187.35,70.79,South,2
INV11997,2022-03-25 05:00:00,CUST1087,Investment,Fee,41648.25,56149.18,335.2,163.14,,4
INV11560,2022-03-07 00:00:00,CUST1069,Credit,Interest,8185.65,43683.94,425.29,25.55,South,5
INV10858,2022-02-05 18:00:00,CUST1065,Savings,Fee,14908.99,22565.02,136.91,252.91,East,3
INV10822,2022-02-04 06:00:00,CUST1082,Credit,,41338.85,95961.3,232.82,253.58,East,
INV12183,2022-04-01 23:00:00,CUST1075,Savings,Deposit,26366.03,81805.88,445.16,48.33,East,3
INV10459,2022-01-20 03:00:00,CUST1067,,Fee,5056.37,86050.98,428.88,112.52,,
INV11927,2022-03-22 07:00:00,CUST1063,,Fee,27335.82,88563.83,194.58,79.84,South,5
INV11098,2022-02-15 18:00:00,CUST1037,Credit,,22980.52,25535.47,63.63,287.13,West,1
INV12980,2022-05-05 04:00:00,CUST1013,Checking,Interest,45012.74,25140.53,442.44,222.37,North,4
INV12981,2022-05-05 05:00:00,CUST1033,Checking,Deposit,26153.85,14060.09,41.4,208.59,South,3
INV10781,2022-02-02 13:00:00,CUST1046,Savings,Withdrawal,25185.96,74742.7,24.17,214.67,South,4
INV12775,2022-04-26 15:00:00,CUST1020,Credit,Fee,14810.23,51671.48,315.94,197.51,,4
INV11280,2022-02-23 08:00:00,CUST1001,,Withdrawal,31373.55,75532.56,38.34,195.6,,1
INV12671,2022-04-22 07:00:00,CUST1012,Checking,Fee,40639.72,82416.11,372.79,240.76,South,3
INV11882,2022-03-20 10:00:00,CUST1086,Credit,Withdrawal,18346.63,70100.39,497.55,253.37,East,4
INV11587,2022-03-08 03:00:00,CUST1058,,Deposit,12020.73,72481.61,230.48,263.11,North,1
INV12532,2022-04-16 12:00:00,CUST1086,Investment,Fee,13437.27,61710.74,243.02,7.63,South,2
INV12911,2022-05-02 07:00:00,CUST1022,Savings,Deposit,21362.36,47954.47,488.31,124.29,,4
INV10956,2022-02-09 20:00:00,CUST1051,Investment,Fee,16119.8,72798.18,109.53,95.61,North,4
INV10127,2022-01-06 07:00:00,CUST1071,Checking,Fee,37264.62,82352.41,98.29,248.59,West,1
INV12460,2022-04-13 12:00:00,CUST1046,Credit,Fee,27307.04,42521.93,418.82,81.16,,2
INV10527,2022-01-22 23:00:00,CUST1099,Investment,Withdrawal,29998.29,33707.41,15.45,101.69,West,
INV11361,2022-02-26 17:00:00,CUST1031,Savings,Deposit,36523.51,54826.38,452.93,231.41,South,2
INV12658,2022-04-21 18:00:00,CUST1007,Savings,Fee,38901.44,16615.91,442.44,89.26,North,1
INV11549,2022-03-06 13:00:00,CUST1011,Checking,Deposit,16000.78,59420.37,439.59,252.96,,
INV10220,2022-01-10 04:00:00,CUST1055,Savings,Withdrawal,2476.98,78714.12,10.37,161.6,East,5
INV10122,2022-01-06 02:00:00,CUST1004,Checking,Withdrawal,33525.63,35914.91,96.88,148.03,,
INV11613,2022-03-09 05:00:00,CUST1014,Credit,Deposit,45181.86,6927.93,289.74,94.52,North,1
INV12221,2022-04-03 13:00:00,CUST1050,,Interest,3154.0,51838.93,395.56,113.51,North,4
INV10786,2022-02-02 18:00:00,CUST1029,,Fee,48576.1,6686.3,213.8,70.55,South,4
INV12989,2022-05-05 13:00:00,CUST1082,Investment,Fee,25113.08,79217.3,36.45,172.77,West,
INV10629,2022-01-27 05:00:00,CUST1051,Checking,Interest,6417.97,97509.39,268.6,198.85,North,3
INV11223,2022-02-20 23:00:00,CUST1045,Investment,Withdrawal,44443.24,48126.02,115.62,145.1,North,5
INV12175,2022-04-01 15:00:00,CUST1010,Investment,,19780.05,35068.89,313.18,258.57,North,2
INV12887,2022-05-01 07:00:00,CUST1077,Savings,Withdrawal,11399.88,38563.04,477.42,267.23,West,1
INV11646,2022-03-10 14:00:00,CUST1024,Credit,Deposit,18094.88,1845.07,448.1,29.07,South,4
INV10802,2022-02-03 10:00:00,CUST1076,,,37420.56,86142.5,243.28,234.82,South,3
INV11420,2022-03-01 04:00:00,CUST1036,Checking,,15535.75,44753.93,471.21,208.73,East,1
INV12028,2022-03-26 12:00:00,CUST1097,Investment,,36706.34,99443.66,468.47,229.74,South,4
INV12004,2022-03-25 12:00:00,CUST1079,Credit,Withdrawal,41184.73,16513.37,116.63,257.28,,3
INV12872,2022-04-30 16:00:00,CUST1094,Investment,Deposit,22756.22,53423.62,423.29,294.46,West,
INV10965,2022-02-10 05:00:00,CUST1077,,Withdrawal,8630.59,1585.41,488.99,26.9,North,1
INV11910,2022-03-21 14:00:00,CUST1020,Credit,Withdrawal,39990.14,45891.87,210.95,110.07,East,3
INV10644,2022-01-27 20:00:00,CUST1052,Checking,Interest,11717.61,74177.57,495.04,97.44,,5
INV11762,2022-03-15 10:00:00,CUST1080,Checking,Withdrawal,39099.81,78377.25,362.88,222.77,North,5
INV12217,2022-04-03 09:00:00,CUST1069,Credit,Interest,5373.99,68638.71,119.72,268.59,East,5
INV12694,2022-04-23 06:00:00,CUST1010,Savings,,4352.28,12366.71,261.13,265.52,East,
INV11609,2022-03-09 01:00:00,CUST1089,Checking,Interest,10554.26,70716.6,420.46,72.81,South,1
INV12790,2022-04-27 06:00:00,CUST1059,Checking,Deposit,8980.47,22561.37,443.83,288.95,West,3
INV12831,2022-04-28 23:00:00,CUST1014,Credit,Deposit,20825.44,30707.47,449.95,85.92,North,3
INV10543,2022-01-23 15:00:00,CUST1031,Checking,Withdrawal,46249.6,21384.75,475.44,186.85,,2
INV10351,2022-01-15 15:00:00,CUST1020,Credit,Deposit,19411.06,87749.71,468.85,33.56,,5
INV10392,2022-01-17 08:00:00,CUST1057,Checking,Interest,26407.09,67551.42,51.8,16.77,North,3
INV11269,2022-02-22 21:00:00,CUST1073,,Withdrawal,24145.68,69019.88,43.88,155.0,South,5
INV11473,2022-03-03 09:00:00,CUST1039,Credit,Interest,16522.08,68601.73,7.8,42.55,,
INV11512,2022-03-05 00:00:00,CUST1019,Credit,Interest,38075.33,1135.34,265.63,160.81,North,3
INV10455,2022-01-19 23:00:00,CUST1007,Investment,Deposit,40894.35,2217.11,493.27,163.73,,4
INV10796,2022-02-03 04:00:00,CUST1062,Checking,Fee,24697.52,16796.53,216.38,253.79,West,5
INV10222,2022-01-10 06:00:00,CUST1058,,Interest,19142.63,8365.23,258.26,129.2,South,5
INV11519,2022-03-05 07:00:00,CUST1025,,,22143.82,3206.35,348.34,243.63,North,
INV10395,2022-01-17 11:00:00,CUST1023,Savings,Deposit,10610.12,55649.64,444.69,205.7,North,
INV11908,2022-03-21 12:00:00,CUST1091,Savings,Withdrawal,31825.07,60224.95,406.05,215.52,East,1
INV10314,2022-01-14 02:00:00,CUST1098,,,480.9,27097.86,340.03,183.09,South,1
INV10418,2022-01-18 10:00:00,CUST1059,Checking,Interest,38200.52,12418.25,297.41,219.26,North,2
INV11624,2022-03-09 16:00:00,CUST1054,Credit,,28793.5,91695.8,174.54,110.04,North,2
INV10775,2022-02-02 07:00:00,CUST1012,Credit,Fee,42938.53,2655.34,225.4,124.41,West,5
INV10953,2022-02-09 17:00:00,CUST1000,,Deposit,20764.03,41405.98,297.07,199.58,South,3
INV11662,2022-03-11 06:00:00,CUST1064,Checking,Interest,25016.57,70830.33,296.62,43.94,East,3
INV12211,2022-04-03 03:00:00,CUST1036,Checking,,29626.11,32420.64,63.06,284.46,South,2
INV12481,2022-04-14 09:00:00,CUST1024,Investment,Deposit,26893.25,84736.9,146.63,221.47,East,2
INV11412,2022-02-28 20:00:00,CUST1019,Savings,Interest,41946.01,90227.4,233.65,22.01,,4
INV12124,2022-03-30 12:00:00,CUST1078,Savings,Interest,17621.59,9860.55,469.13,107.09,South,4
INV12867,2022-04-30 11:00:00,CUST1090,Checking,Deposit,719.97,84211.65,100.54,162.39,South,2
INV11899,2022-03-21 03:00:00,CUST1046,Credit,,19730.29,21824.46,100.54,144.57,South,4
INV12563,2022-04-17 19:00:00,CUST1015,,Withdrawal,49833.66,94502.02,55.92,55.72,,2
INV10184,2022-01-08 16:00:00,CUST1083,,,24084.64,74298.8,364.46,200.94,East,2
INV12165,2022-04-01 05:00:00,CUST1004,,Deposit,46661.92,70028.98,167.59,148.0,East,4
INV11389,2022-02-27 21:00:00,CUST1053,Savings,,45533.04,31935.65,127.82,96.26,West,1
INV10544,2022-01-23 16:00:00,CUST1090,Credit,Deposit,39285.6,27179.19,244.34,68.17,North,3
INV11769,2022-03-15 17:00:00,CUST1066,,,1788.75,88929.65,169.23,103.84,East,1
INV11755,2022-03-15 03:00:00,CUST1036,Investment,Fee,1137.24,83012.76,466.37,39.1,,
INV10653,2022-01-28 05:00:00,CUST1092,,Interest,5293.97,80826.96,77.11,292.67,East,3
INV10194,2022-01-09 02:00:00,CUST1061,Savings,Interest,45167.77,37071.92,197.43,172.41,South,
INV11121,2022-02-16 17:00:00,CUST1071,,Interest,45293.45,56737.89,200.22,241.03,North,1
INV11597,2022-03-08 13:00:00,CUST1016,Credit,Fee,43014.06,5950.41,381.67,214.57,,
INV10473,2022-01-20 17:00:00,CUST1062,Investment,,12745.83,42343.32,244.4,288.92,West,2
INV11134,2022-02-17 06:00:00,CUST1003,Savings,Interest,5926.93,71224.1,158.08,147.06,West,4
INV12855,2022-04-29 23:00:00,CUST1066,Credit,Deposit,43591.17,54808.3,445.9,26.85,South,5
INV10757,2022-02-01 13:00:00,CUST1007,Credit,Deposit,1012.1,68296.22,430.22,258.91,East,5
INV10859,2022-02-05 19:00:00,CUST1074,Savings,Fee,20610.71,27227.32,95.36,49.54,North,5
INV12878,2022-04-30 22:00:00,CUST1009,Checking,Interest,35396.03,62593.09,193.95,121.88,North,1
INV10736,2022-01-31 16:00:00,CUST1014,Credit,,22937.91,28477.64,9.84,210.12,North,1
INV11001,2022-02-11 17:00:00,CUST1007,,Fee,34765.97,95023.05,257.02,55.47,East,4
INV10233,2022-01-10 17:00:00,CUST1052,Credit,Withdrawal,48668.59,47081.37,170.17,110.88,West,4
INV12012,2022-03-25 20:00:00,CUST1031,Investment,Withdrawal,10694.88,56228.88,258.16,51.68,North,1
INV10927,2022-02-08 15:00:00,CUST1021,Investment,Deposit,17795.15,25703.69,142.79,165.46,East,5
INV11877,2022-03-20 05:00:00,CUST1078,Checking,Withdrawal,30073.34,48006.16,351.4,114.48,North,3
INV10579,2022-01-25 03:00:00,CUST1006,Investment,,29388.36,82108.87,417.21,75.74,,4
INV12027,2022-03-26 11:00:00,CUST1014,Credit,Fee,11670.25,31119.22,172.09,266.71,,2
INV12101,2022-03-29 13:00:00,CUST1075,,,37973.84,34352.59,382.77,151.22,South,4
INV10448,2022-01-19 16:00:00,CUST1051,Checking,Withdrawal,21931.02,51928.95,149.56,249.96,East,2
INV10709,2022-01-30 13:00:00,CUST1061,Credit,,27719.49,29361.28,396.51,44.45,South,2
INV10024,2022-01-02 00:00:00,CUST1032,Investment,Fee,7150.87,76843.86,365.1,86.44,,5
INV10431,2022-01-18 23:00:00,CUST1091,Savings,Withdrawal,44561.13,88830.18,275.62,169.86,South,2
INV12974,2022-05-04 22:00:00,CUST1089,Investment,,13746.77,71677.34,461.16,280.31,North,1
INV12822,2022-04-28 14:00:00,CUST1016,Investment,Fee,30130.27,84955.49,263.92,279.1,South,5
INV10410,2022-01-18 02:00:00,CUST1092,,,38284.96,14634.6,174.04,247.95,West,4
INV10836,2022-02-04 20:00:00,CUST1091,Savings,,25034.04,46851.74,462.62,44.99,East,1
INV12187,2022-04-02 03:00:00,CUST1019,Investment,Interest,1035.38,9685.98,247.47,23.67,West,2
INV12695,2022-04-23 07:00:00,CUST1049,,Interest,35088.66,56573.74,241.44,68.05,South,2
INV11024,2022-02-12 16:00:00,CUST1061,Savings,Deposit,8134.16,39455.03,460.95,99.53,West,
INV11745,2022-03-14 17:00:00,CUST1097,,Withdrawal,34283.3,55716.19,72.08,282.15,West,5
INV11193,2022-02-19 17:00:00,CUST1087,Savings,Interest,4387.9,15446.49,419.42,262.84,,4
INV10551,2022-01-23 23:00:00,CUST1032,,Interest,2437.65,92140.16,381.42,268.13,North,4
INV12069,2022-03-28 05:00:00,CUST1044,Savings,Fee,22619.2,9559.07,189.18,144.57,West,1
INV11849,2022-03-19 01:00:00,CUST1099,Investment,Fee,14644.15,11184.53,352.39,279.47,North,5
INV10586,2022-01-25 10:00:00,CUST1020,Savings,Interest,14653.33,27998.6,148.05,283.72,South,3
INV10548,2022-01-23 20:00:00,CUST1049,Credit,Interest,16345.39,92628.2,172.77,111.8,West,1
INV12478,2022-04-14 06:00:00,CUST1077,Credit,,24054.2,96543.47,55.77,207.58,South,4
INV12923,2022-05-02 19:00:00,CUST1028,Savings,Withdrawal,40154.78,71497.7,194.01,255.28,,3
INV11651,2022-03-10 19:00:00,CUST1048,Investment,,48393.44,55834.29,10.45,25.7,,4
INV12599,2022-04-19 07:00:00,CUST1067,,Interest,30112.42,46253.75,293.51,157.74,East,5
INV10863,2022-02-05 23:00:00,CUST1097,Checking,Withdrawal,31526.1,28784.47,103.74,279.89,South,3
INV12327,2022-04-07 23:00:00,CUST1032,Savings,Interest,21247.29,79249.77,483.94,242.52,West,5
INV12682,2022-04-22 18:00:00,CUST1042,Savings,Interest,6460.55,471.24,336.88,165.59,,1
INV10967,2022-02-10 07:00:00,CUST1001,,Deposit,27780.7,14391.76,163.25,270.74,East,
INV10385,2022-01-17 01:00:00,CUST1086,Savings,,16083.88,60725.29,134.68,291.07,East,1
INV10178,2022-01-08 10:00:00,CUST1061,Investment,Deposit,37796.76,74852.85,479.88,55.1,North,2
INV11484,2022-03-03 20:00:00,CUST1061,Credit,Fee,34182.79,51292.08,171.71,141.49,West,3
INV11493,2022-03-04 05:00:00,CUST1025,Savings,Fee,43748.22,91160.38,69.85,297.38,,3
INV12953,2022-05-04 01:00:00,CUST1000,,Interest,19641.03,48437.75,232.82,38.52,South,2
INV11833,2022-03-18 09:00:00,CUST1029,Credit,Withdrawal,5784.74,86532.56,461.5,273.35,,2
INV12729,2022-04-24 17:00:00,CUST1085,,,723.71,15600.46,288.14,172.61,West,3
INV10098,2022-01-05 02:00:00,CUST1052,Investment,Deposit,40378.74,29410.27,459.64,172.08,East,1
INV12782,2022-04-26 22:00:00,CUST1000,,Withdrawal,3714.7,82150.81,110.41,10.98,,3
INV12135,2022-03-30 23:00:00,CUST1020,,Interest,26283.71,36563.85,110.05,268.67,South,3
INV12936,2022-05-03 08:00:00,CUST1042,Savings,Fee,47720.53,4863.55,244.18,125.85,North,5
INV10033,2022-01-02 09:00:00,CUST1091,Checking,Withdrawal,49987.58,93108.83,276.5,8.19,North,2
INV11207,2022-02-20 07:00:00,CUST1094,Savings,Deposit,1887.24,1106.36,385.22,108.47,,5
INV12769,2022-04-26 09:00:00,CUST1098,Checking,Fee,5327.34,2631.23,418.56,96.97,,4
INV12508,2022-04-15 12:00:00,CUST1096,Investment,Withdrawal,41138.6,33677.24,269.79,167.04,North,4
INV11919,2022-03-21 23:00:00,CUST1002,Savings,Withdrawal,40502.79,2346.98,294.16,253.79,East,4
INV10373,2022-01-16 13:00:00,CUST1036,Investment,Deposit,1908.42,10874.79,296.85,283.59,East,1
INV11088,2022-02-15 08:00:00,CUST1001,,Fee,15924.42,59560.5,110.52,69.78,West,4
INV12248,2022-04-04 16:00:00,CUST1084,Checking,Deposit,47705.15,89821.95,126.5,81.21,East,4
INV11172,2022-02-18 20:00:00,CUST1026,Credit,Fee,47248.9,23521.44,121.65,171.52,East,5
INV10582,2022-01-25 06:00:00,CUST1074,Credit,,17459.13,15520.74,411.2,252.36,,4
INV10643,2022-01-27 19:00:00,CUST1038,,Interest,35302.46,15755.26,149.41,102.64,North,1
INV10476,2022-01-20 20:00:00,CUST1057,,Deposit,37873.68,52049.95,11.07,260.31,West,3
INV11218,2022-02-20 18:00:00,CUST1005,Investment,Interest,1877.27,42142.25,385.22,85.56,North,5
INV10525,2022-01-22 21:00:00,CUST1009,Credit,Withdrawal,38979.85,27443.62,128.29,85.27,East,5
INV12767,2022-04-26 07:00:00,CUST1051,Savings,Withdrawal,399.12,1670.09,266.89,193.94,West,3
INV10041,2022-01-02 17:00:00,CUST1050,Investment,Deposit,8886.12,8057.62,215.35,82.91,West,1
INV11310,2022-02-24 14:00:00,CUST1019,,Fee,10686.23,84261.53,281.47,98.09,West,5
INV10740,2022-01-31 20:00:00,CUST1002,Savings,Withdrawal,14543.21,27024.11,401.09,206.41,East,
INV10743,2022-01-31 23:00:00,CUST1056,Credit,Withdrawal,16031.14,16904.54,177.73,128.78,North,1
INV11163,2022-02-18 11:00:00,CUST1006,Investment,Deposit,19437.73,96203.19,13.42,205.1,,5
INV10677,2022-01-29 05:00:00,CUST1085,,Withdrawal,29468.39,47106.74,298.22,299.68,West,3
INV11605,2022-03-08 21:00:00,CUST1002,,,9240.72,86074.11,271.4,65.65,West,5
INV10630,2022-01-27 06:00:00,CUST1082,Credit,Withdrawal,6154.86,87359.97,475.34,128.79,South,3
INV10914,2022-02-08 02:00:00,CUST1026,Investment,Withdrawal,28848.39,57953.52,233.07,197.51,South,
INV11726,2022-03-13 22:00:00,CUST1097,Credit,Deposit,2661.76,30004.74,448.29,265.88,North,2
INV12326,2022-04-07 22:00:00,CUST1088,Checking,Deposit,21492.55,45862.46,348.61,234.67,North,
INV12264,2022-04-05 08:00:00,CUST1016,,Withdrawal,13127.77,66389.34,206.61,130.14,South,3
INV11114,2022-02-16 10:00:00,CUST1000,Checking,Fee,20266.7,96927.14,349.88,151.17,South,
INV10150,2022-01-07 06:00:00,CUST1026,Investment,Withdrawal,35759.69,64410.48,303.67,170.51,South,3
INV12814,2022-04-28 06:00:00,CUST1071,,Withdrawal,36474.01,33153.6,139.09,148.07,,
INV12718,2022-04-24 06:00:00,CUST1051,Investment,,49974.82,1659.5,70.16,132.98,,
INV11287,2022-02-23 15:00:00,CUST1042,Credit,Deposit,49552.91,50645.96,50.2,52.48,North,5
INV11119,2022-02-16 15:00:00,CUST1063,,Withdrawal,33097.3,79686.01,273.21,136.12,South,5
INV12538,2022-04-16 18:00:00,CUST1086,Savings,Interest,10822.88,879.89,392.39,249.23,West,4
INV11746,2022-03-14 18:00:00,CUST1087,Credit,Interest,37946.85,31993.74,298.18,212.62,,5
INV12359,2022-04-09 07:00:00,CUST1099,Checking,Fee,41805.6,92055.18,23.14,213.83,West,
INV11686,2022-03-12 06:00:00,CUST1070,Savings,Deposit,42500.88,42514.75,189.8,260.31,,2
INV12424,2022-04-12 00:00:00,CUST1046,Credit,Fee,46938.62,10178.11,381.67,215.02,South,5
INV10138,2022-01-06 18:00:00,CUST1085,Savings,Interest,30126.03,83866.25,336.88,84.8,North,2
INV11658,2022-03-11 02:00:00,CUST1061,Investment,Withdrawal,26911.47,13609.26,338.58,287.56,East,2
INV11145,2022-02-17 17:00:00,CUST1037,Investment,Fee,14501.14,46087.69,323.46,267.0,South,2
INV11370,2022-02-27 02:00:00,CUST1086,Investment,Withdrawal,26528.35,47076.47,226.39,269.95,East,
